DATA,PRECIPITACAO_PR,PRESSAO_ATM_PR,TEMP_AR_BULBO_SECO_PR,TEMP_ORVALHO_PR,UMIDADE_RELATIVA_AR_PR,VELOCIDADE_VENTO_PR,PRECIPITACAO_RS,PRESSAO_ATM_RS,TEMP_AR_BULBO_SECO_RS,TEMP_ORVALHO_RS,UMIDADE_RELATIVA_AR_RS,VELOCIDADE_VENTO_RS,PRECIPITACAO_SC,PRESSAO_ATM_SC,TEMP_AR_BULBO_SECO_SC,TEMP_ORVALHO_SC,UMIDADE_RELATIVA_AR_SC,VELOCIDADE_VENTO_SC
2010-09-07,38.6,951.69792746114,16.931606217616583,11.846113989637306,74.87564766839378,1.7023316062176166,0.6000000000000001,983.7900491400491,14.491523341523342,9.035353535353535,73.26767676767676,2.56007371007371,7.6,956.2594298245614,15.473684210526315,10.17390350877193,73.29605263157895,1.9785087719298247
2010-09-08,2.6,950.9376884422111,18.006281407035175,11.303015075376885,68.38442211055276,2.522613065326633,1.6,982.4487714987715,15.424447174447174,10.85530303030303,76.68686868686869,3.216093366093366,17.8,955.5687772925764,15.750436681222707,11.029475982532752,75.7467248908297,2.211572052401747
2010-09-09,4.8,951.5674479166668,17.925520833333334,10.186718749999999,64.65104166666667,3.6408854166666664,1.6,980.6429447852761,16.7760736196319,11.58045397225725,73.86128625472888,4.100122699386503,2.8000000000000003,955.475704989154,15.713232104121476,10.409110629067246,72.83080260303687,3.029782608695652
2010-09-10,2.2,950.2229974160207,19.038242894056847,10.652713178294574,62.059431524547804,4.279586563307494,0.6000000000000001,977.7474576271187,17.55145278450363,11.298505603985056,69.02739726027397,4.640920096852301,1.2000000000000002,954.2852494577006,15.366811279826464,9.779609544468546,71.87852494577007,4.4585683297180045
2010-09-11,0.8,946.9506811989102,21.907356948228884,12.255313351498637,59.20980926430518,3.2294277929155313,504.4,973.7592503022975,16.66577992744861,13.816053921568628,84.17279411764706,3.335671100362757,28.8,950.224458874459,17.203896103896103,12.570995670995671,76.10822510822511,4.2782135076252725
2010-09-12,7.800000000000001,943.6149171270717,23.50303867403315,11.656629834254144,54.969613259668506,2.301657458563536,230.0,973.2243842364531,15.312438423645322,13.779525593008739,91.0362047440699,3.698768472906404,129.2,949.0150984682714,17.540262582056894,14.74835886214442,85.19256017505471,2.809190371991247
2010-09-13,1.4,941.5947513812155,24.317403314917126,8.002762430939226,43.73816155988858,3.2936464088397788,1018.4,967.909375,17.40175,15.178490566037736,88.13584905660377,4.131,14.0,945.4580645161291,19.723440860215053,12.53763440860215,69.45161290322581,4.356681034482759
2010-09-14,55.2,943.7043835616438,19.71232876712329,11.696986301369861,63.95068493150685,3.2884931506849315,215.8,969.105919395466,14.93992443324937,11.575575447570333,81.90409207161126,5.749622166246851,52.4,943.778354978355,18.640652173913043,12.140217391304347,69.57826086956521,4.761706783369803
2010-09-15,0.6000000000000001,946.9313351498637,17.460217983651226,8.587193460490463,62.74386920980926,1.537602179836512,2.0,977.8323133414933,13.284088127294982,7.815394242803505,72.71088861076345,2.150673194614443,0.2,950.1332613390929,14.219654427645787,7.629157667386609,67.74082073434126,2.44341252699784
2010-09-16,1.4,945.9738419618529,19.348228882833787,11.2425068119891,63.75476839237057,1.9455040871934606,1.4,975.7766990291262,15.230339805825242,8.598256537982564,67.28891656288917,2.879490291262136,0.6000000000000001,948.5964583333333,15.175208333333334,9.788541666666667,72.47083333333333,2.5335416666666664
2010-09-17,0.2,946.1377410468319,21.435812672176308,12.940495867768593,62.887052341597794,1.5661157024793388,0.8,978.2607866507748,14.954827175208582,9.242401960784314,71.6531862745098,2.953396901072706,1.8,947.66,17.117083333333333,11.224375,71.54697286012527,2.8108333333333335
2010-09-18,16.4,950.7123249299719,19.103081232492997,10.27843137254902,61.60504201680672,2.603641456582633,0.4,983.9771156138261,12.5119189511323,6.378132678132678,69.3361963190184,3.2679380214541123,4.2,953.5227083333334,14.397708333333332,8.09125,68.93958333333333,2.893125
