id_reg,desc_reg,date,load_mwmed
NE,NORDESTE,2000-02-04 00:00:00,6181.77916667
S,SUL,2000-02-04 00:00:00,7227.8375
SE,SUDESTE,2000-02-04 00:00:00,26983.54166667
N,NORTE,2000-02-05 00:00:00,2396.475
NE,NORDESTE,2000-02-05 00:00:00,5719.7875
S,SUL,2000-02-05 00:00:00,6193.5
SE,SUDESTE,2000-02-05 00:00:00,24358.11666667
N,NORTE,2000-02-06 00:00:00,2297.23333333
NE,NORDESTE,2000-02-06 00:00:00,5320.59583333
S,SUL,2000-02-06 00:00:00,5421.05416667
SE,SUDESTE,2000-02-06 00:00:00,21316.43333333
N,NORTE,2000-02-07 00:00:00,2430.35416667
NE,NORDESTE,2000-02-07 00:00:00,5997.15
S,SUL,2000-02-07 00:00:00,7014.42083333
SE,SUDESTE,2000-02-07 00:00:00,25526.54583333
N,NORTE,2000-02-08 00:00:00,2439.2125
NE,NORDESTE,2000-02-08 00:00:00,6087.31666667
S,SUL,2000-02-08 00:00:00,7292.05
SE,SUDESTE,2000-02-08 00:00:00,26241.80416667
N,NORTE,2000-02-09 00:00:00,2437.78333333
NE,NORDESTE,2000-02-09 00:00:00,6108.20416667
S,SUL,2000-02-09 00:00:00,7389.07083333
SE,SUDESTE,2000-02-09 00:00:00,26460.02083333
N,NORTE,2000-02-10 00:00:00,2406.67916667
NE,NORDESTE,2000-02-10 00:00:00,6059.80416667
S,SUL,2000-02-10 00:00:00,7461.0
SE,SUDESTE,2000-02-10 00:00:00,26778.06666667
N,NORTE,2000-02-11 00:00:00,2433.9
NE,NORDESTE,2000-02-11 00:00:00,5991.82083333
S,SUL,2000-02-11 00:00:00,7537.10416667
SE,SUDESTE,2000-02-11 00:00:00,26994.5625
N,NORTE,2000-02-12 00:00:00,2322.17083333
NE,NORDESTE,2000-02-12 00:00:00,5600.57916667
S,SUL,2000-02-12 00:00:00,6704.83333333
SE,SUDESTE,2000-02-12 00:00:00,24474.28333333
N,NORTE,2000-02-13 00:00:00,2237.5375
NE,NORDESTE,2000-02-13 00:00:00,5096.725
S,SUL,2000-02-13 00:00:00,5621.87083333
SE,SUDESTE,2000-02-13 00:00:00,21933.0375
N,NORTE,2000-02-14 00:00:00,2391.82916667
NE,NORDESTE,2000-02-14 00:00:00,5634.05416667
S,SUL,2000-02-14 00:00:00,7096.34166667
SE,SUDESTE,2000-02-14 00:00:00,26413.97916667
N,NORTE,2000-02-15 00:00:00,2388.3625
NE,NORDESTE,2000-02-15 00:00:00,5781.93333333
S,SUL,2000-02-15 00:00:00,7205.73333333
SE,SUDESTE,2000-02-15 00:00:00,27523.96666667
N,NORTE,2000-02-16 00:00:00,2423.45
NE,NORDESTE,2000-02-16 00:00:00,5801.84583333
S,SUL,2000-02-16 00:00:00,7057.275
SE,SUDESTE,2000-02-16 00:00:00,27404.225
N,NORTE,2000-02-17 00:00:00,2444.9
NE,NORDESTE,2000-02-17 00:00:00,5841.05833333
S,SUL,2000-02-17 00:00:00,6999.0375
SE,SUDESTE,2000-02-17 00:00:00,26313.35833333
N,NORTE,2000-02-18 00:00:00,2414.95833333
NE,NORDESTE,2000-02-18 00:00:00,5837.41666667
S,SUL,2000-02-18 00:00:00,6977.51666667
SE,SUDESTE,2000-02-18 00:00:00,25385.21666667
N,NORTE,2000-02-19 00:00:00,2378.375
NE,NORDESTE,2000-02-19 00:00:00,5438.39166667
S,SUL,2000-02-19 00:00:00,6249.7
SE,SUDESTE,2000-02-19 00:00:00,23121.12916667
N,NORTE,2000-02-20 00:00:00,2274.7125
NE,NORDESTE,2000-02-20 00:00:00,5014.7625
S,SUL,2000-02-20 00:00:00,5356.96666667
SE,SUDESTE,2000-02-20 00:00:00,20677.775
N,NORTE,2000-02-21 00:00:00,2475.0375
NE,NORDESTE,2000-02-21 00:00:00,5675.65833333
S,SUL,2000-02-21 00:00:00,6987.70833333
SE,SUDESTE,2000-02-21 00:00:00,25306.75416667
N,NORTE,2000-02-22 00:00:00,2422.55833333
NE,NORDESTE,2000-02-22 00:00:00,5774.00833333
